guid,title,pubDate,description,link,media
b'https://www.news18.com/news/lifestyle/twinkle-khannas-gets-to-live-every-potterheads-dream-in-latest-outing-see-pic-2817335.html',"b""Twinkle Khanna Gets to Live Every Potterhead's Dream in Latest Outing, See Pic""",b'2020-08-25T13:18:06+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1598341594_twinkle-khanna.jpg' width='90' height='62' />Twinkle Khanna and kids have accompanied Akshay Kumar to the UK and she recently visited the iconic Elephant House in Edinburgh.""",b'https://www.news18.com/news/lifestyle/twinkle-khannas-gets-to-live-every-potterheads-dream-in-latest-outing-see-pic-2817335.html',
b'https://www.news18.com/news/lifestyle/twinkle-khannas-gets-to-live-every-potterheads-dream-in-latest-outing-see-pic-2817335.html',"b""Twinkle Khanna Gets to Live Every Potterhead's Dream in Latest Outing, See Pic""",b'2020-08-25T13:18:06+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1598341594_twinkle-khanna.jpg' width='90' height='62' />Twinkle Khanna and kids have accompanied Akshay Kumar to the UK and she recently visited the iconic Elephant House in Edinburgh.""",b'https://www.news18.com/news/lifestyle/twinkle-khannas-gets-to-live-every-potterheads-dream-in-latest-outing-see-pic-2817335.html',
b'https://www.news18.com/news/lifestyle/twinkle-khannas-gets-to-live-every-potterheads-dream-in-latest-outing-see-pic-2817335.html',"b""Twinkle Khanna Gets to Live Every Potterhead's Dream in Latest Outing, See Pic""",b'2020-08-25T13:18:06+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1598341594_twinkle-khanna.jpg' width='90' height='62' />Twinkle Khanna and kids have accompanied Akshay Kumar to the UK and she recently visited the iconic Elephant House in Edinburgh.""",b'https://www.news18.com/news/lifestyle/twinkle-khannas-gets-to-live-every-potterheads-dream-in-latest-outing-see-pic-2817335.html',
b'https://www.news18.com/news/lifestyle/twinkle-khannas-gets-to-live-every-potterheads-dream-in-latest-outing-see-pic-2817335.html',"b""Twinkle Khanna Gets to Live Every Potterhead's Dream in Latest Outing, See Pic""",b'2020-08-25T13:18:06+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1598341594_twinkle-khanna.jpg' width='90' height='62' />Twinkle Khanna and kids have accompanied Akshay Kumar to the UK and she recently visited the iconic Elephant House in Edinburgh.""",b'https://www.news18.com/news/lifestyle/twinkle-khannas-gets-to-live-every-potterheads-dream-in-latest-outing-see-pic-2817335.html',
b'https://www.news18.com/news/lifestyle/twinkle-khannas-gets-to-live-every-potterheads-dream-in-latest-outing-see-pic-2817335.html',"b""Twinkle Khanna Gets to Live Every Potterhead's Dream in Latest Outing, See Pic""",b'2020-08-25T13:18:06+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1598341594_twinkle-khanna.jpg' width='90' height='62' />Twinkle Khanna and kids have accompanied Akshay Kumar to the UK and she recently visited the iconic Elephant House in Edinburgh.""",b'https://www.news18.com/news/lifestyle/twinkle-khannas-gets-to-live-every-potterheads-dream-in-latest-outing-see-pic-2817335.html',
b'https://www.news18.com/news/books/mukesh-and-nita-ambani-launch-book-on-coronavirus-penned-by-3-indian-medical-experts-2790577.html',b'Mukesh and Nita Ambani Launch Book on Coronavirus Penned By 3 Indian Medical Experts',b'2020-08-15T20:00:05+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1597498893_book-cover.jpg' width='90' height='62' />The book, written by three Indian medical experts, focuses on the history, evolution, facts and myths around the coronavirus pandemic. """,b'https://www.news18.com/news/books/mukesh-and-nita-ambani-launch-book-on-coronavirus-penned-by-3-indian-medical-experts-2790577.html',
b'https://www.news18.com/news/books/mukesh-and-nita-ambani-launch-book-on-coronavirus-penned-by-3-indian-medical-experts-2790577.html',b'Mukesh and Nita Ambani Launch Book on Coronavirus Penned By 3 Indian Medical Experts',b'2020-08-15T20:00:05+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1597498893_book-cover.jpg' width='90' height='62' />The book, written by three Indian medical experts, focuses on the history, evolution, facts and myths around the coronavirus pandemic. """,b'https://www.news18.com/news/books/mukesh-and-nita-ambani-launch-book-on-coronavirus-penned-by-3-indian-medical-experts-2790577.html',
b'https://www.news18.com/news/books/mukesh-and-nita-ambani-launch-book-on-coronavirus-penned-by-3-indian-medical-experts-2790577.html',b'Mukesh and Nita Ambani Launch Book on Coronavirus Penned By 3 Indian Medical Experts',b'2020-08-15T20:00:05+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1597498893_book-cover.jpg' width='90' height='62' />The book, written by three Indian medical experts, focuses on the history, evolution, facts and myths around the coronavirus pandemic. """,b'https://www.news18.com/news/books/mukesh-and-nita-ambani-launch-book-on-coronavirus-penned-by-3-indian-medical-experts-2790577.html',
b'https://www.news18.com/news/books/mukesh-and-nita-ambani-launch-book-on-coronavirus-penned-by-3-indian-medical-experts-2790577.html',b'Mukesh and Nita Ambani Launch Book on Coronavirus Penned By 3 Indian Medical Experts',b'2020-08-15T20:00:05+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1597498893_book-cover.jpg' width='90' height='62' />The book, written by three Indian medical experts, focuses on the history, evolution, facts and myths around the coronavirus pandemic. """,b'https://www.news18.com/news/books/mukesh-and-nita-ambani-launch-book-on-coronavirus-penned-by-3-indian-medical-experts-2790577.html',
b'https://www.news18.com/news/books/mukesh-and-nita-ambani-launch-book-on-coronavirus-penned-by-3-indian-medical-experts-2790577.html',b'Mukesh and Nita Ambani Launch Book on Coronavirus Penned By 3 Indian Medical Experts',b'2020-08-15T20:00:05+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1597498893_book-cover.jpg' width='90' height='62' />The book, written by three Indian medical experts, focuses on the history, evolution, facts and myths around the coronavirus pandemic. """,b'https://www.news18.com/news/books/mukesh-and-nita-ambani-launch-book-on-coronavirus-penned-by-3-indian-medical-experts-2790577.html',
